lfdn,code_2320,code_2330
13583,4.0,9.0
4002,5.0,10.0
13068,4.0,9.0
195,2.0,4.0
13957,5.0,10.0
14003,5.0,10.0
17370,3.0,8.0
6487,2.0,3.0
14749,3.0,3.0
4494,5.0,10.0
5046,3.0,8.0
11742,3.0,3.0
10991,3.0,12.0
3262,5.0,10.0
10715,3.0,3.0
3987,5.0,10.0
18795,2.0,4.0
16221,1.0,3.0
18796,2.0,4.0
5053,5.0,10.0
9210,5.0,7.0
5968,2.0,3.0
10788,2.0,3.0
4775,3.0,12.0
10377,2.0,3.0
15664,3.0,7.0
3725,2.0,3.0
5061,4.0,4.0
2653,5.0,10.0
22501,5.0,
8110,2.0,4.0
1674,3.0,4.0
8427,5.0,9.0
789,5.0,10.0
7988,3.0,3.0
5068,4.0,9.0
17764,2.0,4.0
9307,2.0,4.0
10007,5.0,10.0
16064,3.0,7.0
5073,2.0,3.0
13947,3.0,3.0
7955,2.0,1.0
16743,9.0,
18797,3.0,8.0
18798,5.0,10.0
7846,5.0,10.0
6779,5.0,10.0
5561,2.0,12.0
1873,5.0,9.0
17193,5.0,10.0
7875,3.0,4.0
3441,2.0,6.0
3635,5.0,10.0
18136,5.0,
11930,4.0,10.0
1489,3.0,8.0
5852,2.0,3.0
14921,5.0,10.0
5089,3.0,4.0
5090,3.0,6.0
5814,5.0,14.0
12474,3.0,8.0
16427,1.0,14.0
5094,4.0,6.0
5095,5.0,13.0
17628,1.0,2.0
14331,4.0,4.0
15969,4.0,6.0
18799,3.0,6.0
8522,2.0,4.0
16428,5.0,10.0
8611,5.0,7.0
13610,5.0,10.0
5103,5.0,10.0
5104,2.0,3.0
5105,3.0,3.0
16564,5.0,10.0
8930,5.0,10.0
14899,3.0,6.0
531,5.0,10.0
8603,4.0,7.0
8779,2.0,4.0
10045,3.0,4.0
1432,5.0,10.0
10847,3.0,4.0
13025,2.0,4.0
16992,2.0,3.0
5118,2.0,4.0
157,2.0,4.0
5120,3.0,12.0
3211,4.0,7.0
3872,5.0,10.0
5123,2.0,8.0
6711,2.0,14.0
5125,4.0,8.0
18137,5.0,
7462,2.0,12.0
11363,3.0,8.0
5128,3.0,6.0
7684,4.0,9.0
18138,,
462,5.0,3.0
15048,3.0,9.0
7807,2.0,4.0
5133,3.0,4.0
5742,3.0,5.0
8497,4.0,9.0
18800,5.0,10.0
9853,5.0,10.0
18139,,
4624,3.0,12.0
11747,2.0,3.0
5810,3.0,3.0
5141,3.0,4.0
14308,2.0,3.0
18140,2.0,
5231,2.0,1.0
1477,3.0,4.0
13875,3.0,4.0
15239,3.0,8.0
9022,3.0,4.0
18801,3.0,6.0
15816,5.0,10.0
3227,3.0,3.0
5150,5.0,8.0
16612,2.0,6.0
18802,3.0,12.0
17135,3.0,7.0
6483,2.0,4.0
18803,2.0,4.0
17454,5.0,10.0
3575,5.0,6.0
5156,2.0,3.0
1740,5.0,10.0
127,3.0,4.0
18804,3.0,6.0
2283,3.0,7.0
9230,2.0,12.0
6683,3.0,4.0
18805,5.0,10.0
18089,5.0,
18806,3.0,7.0
4081,5.0,4.0
6237,5.0,4.0
13168,3.0,6.0
3854,2.0,14.0
3134,2.0,3.0
2791,3.0,8.0
13710,4.0,9.0
5171,3.0,7.0
18807,3.0,7.0
13347,3.0,3.0
5173,3.0,4.0
18808,5.0,10.0
12676,3.0,2.0
18809,3.0,4.0
18141,1.0,
18142,5.0,
3408,3.0,6.0
5176,2.0,4.0
18810,5.0,10.0
5177,4.0,3.0
12639,5.0,4.0
5179,3.0,4.0
668,3.0,4.0
9051,2.0,3.0
5182,5.0,13.0
18143,5.0,
11333,3.0,2.0
3558,5.0,4.0
3338,5.0,6.0
13484,4.0,9.0
1777,5.0,10.0
5189,5.0,6.0
5190,3.0,12.0
10993,2.0,4.0
3389,2.0,4.0
7641,5.0,4.0
16334,3.0,4.0
3875,5.0,10.0
14520,5.0,10.0
1579,3.0,4.0
17791,3.0,4.0
4685,3.0,4.0
3036,2.0,4.0
10705,5.0,10.0
18811,3.0,6.0
6616,2.0,4.0
18145,,
5203,3.0,4.0
5204,5.0,9.0
1045,3.0,8.0
7230,2.0,1.0
6105,3.0,3.0
5208,3.0,7.0
11339,5.0,10.0
7499,5.0,9.0
2766,2.0,3.0
18511,2.0,
11165,5.0,8.0
18812,3.0,6.0
18146,,
5797,4.0,4.0
18813,2.0,4.0
6089,2.0,2.0
7179,2.0,4.0
18814,5.0,4.0
15976,3.0,3.0
7655,3.0,8.0
1343,3.0,4.0
9362,5.0,6.0
10058,4.0,9.0
15605,2.0,8.0
6326,2.0,3.0
3817,3.0,4.0
5224,5.0,10.0
5033,5.0,10.0
5226,3.0,4.0
6638,5.0,10.0
5228,5.0,13.0
10179,5.0,3.0
10909,5.0,4.0
6026,2.0,3.0
3087,5.0,10.0
9694,5.0,4.0
10423,2.0,14.0
3686,3.0,10.0
14506,3.0,6.0
3758,5.0,7.0
1290,3.0,4.0
5239,3.0,6.0
14896,5.0,9.0
946,5.0,10.0
14213,2.0,6.0
18815,4.0,9.0
2043,5.0,10.0
18147,2.0,
13403,3.0,4.0
2613,2.0,4.0
18074,2.0,4.0
12093,2.0,3.0
8569,3.0,4.0
16316,2.0,12.0
17154,3.0,4.0
3126,2.0,14.0
6068,5.0,3.0
5002,3.0,3.0
12335,5.0,10.0
18148,,
6227,3.0,6.0
18512,,
3893,5.0,10.0
886,5.0,10.0
6915,5.0,10.0
16481,3.0,4.0
18096,5.0,
11035,3.0,4.0
5262,3.0,14.0
17,4.0,7.0
5640,5.0,9.0
5961,5.0,9.0
8640,5.0,10.0
15285,3.0,4.0
10221,5.0,8.0
16949,3.0,4.0
11906,2.0,3.0
6186,5.0,10.0
4093,3.0,6.0
1254,5.0,4.0
5274,2.0,3.0
2522,2.0,4.0
16640,3.0,7.0
1885,3.0,4.0
6607,5.0,10.0
18816,2.0,3.0
7545,3.0,4.0
22518,,
10373,2.0,4.0
6304,5.0,6.0
5282,3.0,3.0
18817,5.0,10.0
18818,3.0,6.0
18819,3.0,4.0
11278,4.0,10.0
14874,3.0,12.0
6588,3.0,4.0
14724,5.0,10.0
5287,4.0,4.0
18820,2.0,4.0
7236,5.0,10.0
873,3.0,4.0
474,2.0,12.0
8521,2.0,3.0
13832,2.0,12.0
5293,4.0,9.0
587,5.0,4.0
4657,5.0,10.0
5296,2.0,4.0
5297,2.0,7.0
5298,2.0,6.0
7838,2.0,14.0
15668,3.0,6.0
10066,1.0,14.0
12655,2.0,14.0
1242,2.0,14.0
5304,2.0,3.0
9813,9.0,
3782,4.0,3.0
2126,5.0,4.0
8504,5.0,10.0
581,2.0,3.0
18033,2.0,1.0
17144,2.0,14.0
5313,2.0,12.0
1773,5.0,12.0
3102,2.0,4.0
10805,2.0,4.0
854,3.0,8.0
16432,4.0,9.0
5319,3.0,7.0
2752,3.0,4.0
11448,5.0,10.0
15196,4.0,9.0
10026,2.0,4.0
5324,1.0,14.0
6703,2.0,14.0
2324,5.0,4.0
10195,3.0,4.0
11293,5.0,4.0
14601,5.0,9.0
5330,4.0,9.0
10491,5.0,12.0
5332,2.0,12.0
18150,,
14773,5.0,9.0
18151,5.0,
5335,5.0,4.0
16645,2.0,14.0
15315,5.0,10.0
11181,2.0,4.0
4938,5.0,10.0
15076,2.0,4.0
5341,2.0,3.0
10733,5.0,14.0
8901,5.0,10.0
2975,5.0,14.0
1032,3.0,4.0
18821,3.0,4.0
18822,2.0,4.0
18823,5.0,10.0
18152,,
288,5.0,10.0
18824,3.0,7.0
2071,4.0,3.0
14002,3.0,4.0
2475,3.0,4.0
7999,3.0,13.0
10110,3.0,8.0
12230,3.0,4.0
10009,3.0,6.0
5354,3.0,8.0
8094,5.0,9.0
5356,3.0,3.0
13805,5.0,10.0
11504,3.0,4.0
5359,5.0,10.0
18825,5.0,10.0
18826,3.0,4.0
15731,5.0,10.0
15877,3.0,4.0
7974,5.0,9.0
18827,3.0,4.0
388,5.0,7.0
18153,,
12398,5.0,6.0
18154,,
155,5.0,7.0
5366,3.0,3.0
11495,5.0,10.0
5504,3.0,6.0
8856,4.0,9.0
17883,2.0,6.0
13863,3.0,4.0
9817,3.0,4.0
14954,2.0,1.0
12330,2.0,14.0
22526,5.0,
18155,3.0,
6953,3.0,4.0
7155,5.0,10.0
11192,2.0,3.0
11277,3.0,4.0
18828,2.0,4.0
3051,3.0,7.0
18829,4.0,3.0
5380,3.0,14.0
8104,2.0,4.0
18830,3.0,4.0
18459,,
11500,4.0,9.0
8183,2.0,9.0
5384,5.0,10.0
16463,5.0,10.0
6467,5.0,6.0
7818,2.0,2.0
13759,1.0,14.0
7532,3.0,4.0
5390,3.0,3.0
10152,5.0,9.0
11876,3.0,3.0
1110,2.0,3.0
9469,5.0,10.0
4551,2.0,3.0
386,3.0,3.0
5397,4.0,9.0
5279,2.0,14.0
12668,4.0,7.0
18831,5.0,10.0
1104,2.0,3.0
423,3.0,4.0
7710,2.0,4.0
15067,5.0,12.0
871,2.0,4.0
10648,2.0,14.0
3381,2.0,1.0
2469,2.0,14.0
13316,2.0,6.0
12667,2.0,12.0
2840,5.0,10.0
18156,5.0,
5251,5.0,10.0
5788,2.0,2.0
10485,3.0,4.0
18832,3.0,4.0
11935,2.0,4.0
12238,4.0,5.0
1581,5.0,7.0
13442,3.0,4.0
14680,2.0,3.0
18833,3.0,8.0
5419,2.0,4.0
2193,3.0,4.0
3858,3.0,6.0
10824,3.0,4.0
6906,1.0,13.0
13907,2.0,14.0
8250,5.0,10.0
6331,5.0,6.0
16441,3.0,8.0
3614,5.0,10.0
5429,5.0,10.0
7301,4.0,1.0
14257,3.0,6.0
5432,3.0,7.0
11011,4.0,5.0
13506,5.0,9.0
5941,3.0,9.0
4351,3.0,6.0
14713,3.0,6.0
1752,3.0,12.0
5439,3.0,6.0
12031,3.0,4.0
8805,3.0,7.0
5442,4.0,8.0
2884,5.0,9.0
18834,5.0,12.0
8214,3.0,8.0
13997,3.0,4.0
18835,5.0,10.0
850,2.0,4.0
15555,2.0,4.0
5448,2.0,12.0
9879,2.0,14.0
18157,3.0,
1292,2.0,7.0
2603,4.0,6.0
7068,5.0,9.0
18158,,
18836,3.0,3.0
13299,5.0,10.0
5454,2.0,6.0
18837,3.0,3.0
202,5.0,10.0
3305,3.0,4.0
